Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour,day_of_week,month,year,distance_km
26883056,2012-12-23 23:42:00.00000045,7.5,2012-12-23 23:42:00+00:00,-73.982387,40.762572,-74.00280500000001,40.760733,1,23,6,12,2012,1.7317727442404742
54124291,2011-11-12 02:02:00.000000159,12.1,2011-11-12 02:02:00+00:00,-73.998657,40.76345,-73.950257,40.771302,4,2,5,11,2011,4.168486196955333
22481944,2009-04-06 15:12:19.0000001,4.9,2009-04-06 15:12:19+00:00,-73.958256,40.779019,-73.95016700000001,40.772243,1,15,0,4,2009,1.0156967999870217
47922545,2012-12-04 11:56:00.00000029,13.5,2012-12-04 11:56:00+00:00,-73.959568,40.776997,-73.974262,40.761975,2,11,1,12,2012,2.0787852277105676
47406111,2010-12-23 19:25:32.0000001,49.57,2010-12-23 19:25:32+00:00,-73.790013,40.644878000000006,-73.975786,40.754285,2,19,3,12,2010,19.83085075555688
28760431,2011-06-17 17:05:37.0000005,7.7,2011-06-17 17:05:37+00:00,-73.994603,40.727881,-74.00583,40.745662,1,17,4,6,2011,2.191783905503163
11804931,2010-12-08 18:31:36.0000002,4.9,2010-12-08 18:31:36+00:00,-73.95579599999999,40.776502,-73.959307,40.781099,1,18,2,12,2010,0.5904950326663286
47033461,2015-06-25 14:56:07.0000003,57.54,2015-06-25 14:56:07+00:00,-73.78267669677734,40.64453125,-73.9826889038086,40.755683898925774,1,14,3,6,2015,20.90592295655536
6865235,2010-08-16 19:25:24.0000003,9.7,2010-08-16 19:25:24+00:00,-73.988537,40.748325,-73.987859,40.72037,1,19,0,8,2010,3.108979057176203
4113497,2014-05-30 11:32:34.0000006,34.83,2014-05-30 11:32:34+00:00,-73.872086,40.773944,-73.970409,40.756083,1,11,4,5,2014,8.515442626127951
30871767,2013-10-17 17:15:00.000000109,6.0,2013-10-17 17:15:00+00:00,-73.951988,40.772617,-73.951575,40.78105,2,17,3,10,2013,0.9383514498349973
3636485,2010-12-23 06:11:00.0000002,25.47,2010-12-23 06:11:00+00:00,-73.964337,40.757215,-73.870292,40.773445,1,6,3,12,2010,8.123282305191998
32263778,2011-10-02 20:46:01.0000001,4.1,2011-10-02 20:46:01+00:00,-73.94685799999999,40.784223,-73.939284,40.790804,3,20,6,10,2011,0.9706159687466251
50077941,2014-03-25 11:33:00.00000057,7.5,2014-03-25 11:33:00+00:00,-73.983915,40.767282,-73.99515,40.75935,6,11,1,3,2014,1.2935409554421728
18459097,2013-06-16 13:26:00.00000028,13.0,2013-06-16 13:26:00+00:00,-73.988017,40.748452,-74.010002,40.709892,1,13,6,6,2013,4.670767422925137
10040360,2013-07-31 12:23:00.00000029,13.5,2013-07-31 12:23:00+00:00,-74.000202,40.719657,-73.99206,40.741832,1,12,2,7,2013,2.559411676175572
24937666,2015-01-21 01:57:43.0000002,4.0,2015-01-21 01:57:43+00:00,-73.94277954101562,40.7860107421875,-73.94914245605469,40.78135299682617,2,1,2,1,2015,0.7451433408276583
31560206,2012-04-21 18:50:00.00000065,15.7,2012-04-21 18:50:00+00:00,-74.00784499999999,40.751543,-73.953823,40.775285,2,18,5,4,2012,5.260209565193992
37251290,2014-02-18 11:51:39.0000001,43.83,2014-02-18 11:51:39+00:00,-73.985873,40.759116,-73.865876,40.771113,4,11,1,2,2014,10.193599999506212
47366654,2009-04-14 15:47:00.000000114,49.15,2009-04-14 15:47:00+00:00,-73.97816800000001,40.752307,-73.782685,40.644397,1,15,1,4,2009,20.38526879770402
29997014,2014-05-27 11:55:00.00000061,7.0,2014-05-27 11:55:00+00:00,-73.985162,40.747855,-73.996635,40.731857,1,11,1,5,2014,2.024547777649068
17383278,2012-05-04 19:08:54.0000002,4.1,2012-05-04 19:08:54+00:00,-73.992917,40.763088,-73.985226,40.773586,1,19,4,5,2012,1.3349718222359093
26260807,2012-11-08 13:27:02.0000002,52.0,2012-11-08 13:27:02+00:00,-73.974583,40.750679,-73.806954,40.658841,1,13,3,11,2012,17.43406231614343
41960271,2009-01-14 01:24:42.0000002,4.2,2009-01-14 01:24:42+00:00,-73.958043,40.815475,-73.94587299999999,40.778175,1,1,2,1,2009,4.272216538458781
14417015,2015-05-19 16:29:37.0000007,11.0,2015-05-19 16:29:37+00:00,-73.9969024658203,40.73711395263672,-73.9859848022461,40.72708511352539,1,16,1,5,2015,1.445624838650799
47817840,2011-06-03 13:51:00.000000123,8.1,2011-06-03 13:51:00+00:00,-73.9717,40.7629,-73.9563,40.7844,2,13,4,6,2011,2.7197570126937913
51067227,2015-05-23 00:08:32.0000001,24.5,2015-05-23 00:08:32+00:00,-73.985107421875,40.72899627685547,-73.98895263671875,40.69427108764648,5,0,5,5,2015,3.8748426612807334
14967958,2011-10-13 21:01:42.0000003,6.9,2011-10-13 21:01:42+00:00,-73.9724,40.7649,-73.9585,40.7783,1,21,3,10,2011,1.8947957560544912
55146815,2015-03-30 15:24:52.0000003,8.5,2015-03-30 15:24:52+00:00,-73.99225616455078,40.74961471557617,-73.982177734375,40.762786865234375,1,15,0,3,2015,1.692899879834603
